Year,Field,Name,Work
1929,literature,Thomas Mann,"principally for his great novel, Buddenbrooks, which has won steadily increased recognition as one of the classic works of contemporary literature"
,,,
1929,peace,Frank Billings Kellogg,for his crucial role in bringing about the Briand-Kellogg Pact
,,,
1928,physics,Owen Willans Richardson,for his work on the thermionic phenomenon and especially for the discovery of the law named after him
,,,
1928,chemistry,Adolf Otto Reinhold Windaus,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins
,,,
1928,medicine,Charles Jules Henri Nicolle,for his work on typhus
,,,
1928,literature,Sigrid Undset,principally for her powerful descriptions of Northern life during the Middle Ages
,,,
1927,physics,Arthur Holly Compton,for his discovery of the effect named after him
,,,
1927,physics,Charles Thomson Rees Wilson,for his method of making the paths of electrically charged particles visible by condensation of vapour
,,,
1927,chemistry,Heinrich Otto Wieland,for his investigations of the constitution of the bile acids and related substances
,,,
1927,medicine,Julius Wagner-Jauregg,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica
,,,
1927,literature,Henri Bergson,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented
,,,
1927,peace,Ferdinand Buisson,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation
,,,
1927,peace,Ludwig Quidde,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation
,,,
1926,physics,Jean Baptiste Perrin,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"
,,,
1926,chemistry,The (Theodor) Svedberg,for his work on disperse systems
,,,
1926,medicine,Johannes Andreas Grib Fibiger,for his discovery of the Spiroptera carcinoma
,,,
1926,literature,Grazia Deledda,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general
,,,
1926,peace,Aristide Briand,for their crucial role in bringing about the Locarno Treaty
,,,
1926,peace,Gustav Stresemann,for their crucial role in bringing about the Locarno Treaty
,,,
1925,physics,James Franck,for their discovery of the laws governing the impact of an electron upon an atom
,,,
1925,physics,Gustav Ludwig Hertz,for their discovery of the laws governing the impact of an electron upon an atom
,,,
1925,chemistry,Richard Adolf Zsigmondy,"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry"
,,,
1925,literature,George Bernard Shaw,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty"
,,,
1925,peace,Sir Austen Chamberlain,for his crucial role in bringing about the Locarno Treaty
,,,
1925,peace,Charles Gates Dawes,for his crucial role in bringing about the Dawes Plan
,,,
1924,physics,Karl Manne Georg Siegbahn,for his discoveries and research in the field of X-ray spectroscopy
,,,
1924,medicine,Willem Einthoven,for his discovery of the mechanism of the electrocardiogram
,,,
1924,literature,Wladyslaw Stanislaw Reymont,"for his great national epic, The Peasants"
,,,
1923,physics,Robert Andrews Millikan,for his work on the elementary charge of electricity and on the photoelectric effect
,,,
1923,chemistry,Fritz Pregl,for his invention of the method of micro-analysis of organic substances
,,,
1923,medicine,Frederick Grant Banting,for the discovery of insulin
,,,
1923,medicine,John James Rickard Macleod,for the discovery of insulin
,,,
1923,literature,William Butler Yeats,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation"
,,,
1922,physics,Niels Henrik David Bohr,for his services in the investigation of the structure of atoms and of the radiation emanating from them
,,,
1922,chemistry,Francis William Aston,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule"
,,,
1922,medicine,Archibald Vivian Hill,for his discovery relating to the production of heat in the muscle
,,,
1922,medicine,Otto Fritz Meyerhof,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle
,,,
1922,literature,Jacinto Benavente,for the happy manner in which he has continued the illustrious traditions of the Spanish drama
,,,
1922,peace,Fridtjof Nansen,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations’ High Commissioner for refugees"
,,,
1921,physics,Albert Einstein,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"
,,,
1921,chemistry,Frederick Soddy,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes"
,,,
1921,literature,Anatole France,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament"
,,,
1921,peace,Karl Hjalmar Branting,for their lifelong contributions to the cause of peace and organized internationalism
,,,
1921,peace,Christian Lous Lange,for their lifelong contributions to the cause of peace and organized internationalism
,,,
1920,physics,Charles Edouard Guillaume,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys
,,,
1920,chemistry,Walther Hermann Nernst,in recognition of his work in thermochemistry
,,,
1920,medicine,Schack August Steenberg Krogh,for his discovery of the capillary motor regulating mechanism
,,,
1920,literature,Knut Pedersen Hamsun,"for his monumental work, Growth of the Soil"
,,,
1920,peace,Léon Victor Auguste Bourgeois,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations
,,,
1919,physics,Johannes Stark,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields
,,,
1919,medicine,Jules Bordet,for his discoveries relating to immunity
,,,
1919,literature,Carl Friedrich Georg Spitteler,"in special appreciation of his epic, Olympian Spring"
,,,
1919,peace,Thomas Woodrow Wilson,for his role as founder of the League of Nations
,,,
1918,physics,Max Karl Ernst Ludwig Planck,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta
,,,
1918,chemistry,Fritz Haber,for the synthesis of ammonia from its elements
,,,
1917,physics,Charles Glover Barkla,for his discovery of the characteristic Röntgen radiation of the elements
,,,
1917,literature,Karl Adolph Gjellerup,"for his varied and rich poetry, which is inspired by lofty ideals"
,,,
1917,literature,Henrik Pontoppidan,for his authentic descriptions of present-day life in Denmark
,,,
1917,peace,"Comité international de la Croix Rouge (International Committee of the Red Cross)
",for the efforts to take care of wounded soldiers and prisoners of war and their families
,,,
1916,literature,Carl Gustaf Verner von Heidenstam,in recognition of his significance as the leading representative of a new era in our literature
,,,
1915,physics,Sir William Henry Bragg,for their services in the analysis of crystal structure by means of X-rays
,,,
1915,physics,William Lawrence Bragg,for their services in the analysis of crystal structure by means of X-rays
,,,
1915,chemistry,Richard Martin Willstätter,"for his researches on plant pigments, especially chlorophyll"
,,,
1915,literature,Romain Rolland,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings
,,,
1914,physics,Max von Laue,for his discovery of the diffraction of X-rays by crystals
,,,
1914,chemistry,Theodore William Richards,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements
,,,
1914,medicine,Robert Bárány,for his work on the physiology and pathology of the vestibular apparatus
,,,
1913,physics,Heike Kamerlingh Onnes,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"
,,,
1913,chemistry,Alfred Werner,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry
,,,
1913,medicine,Charles Robert Richet,in recognition of his work on anaphylaxis
,,,
1913,literature,Rabindranath Tagore,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West"
,,,
1913,peace,Henri La Fontaine,for his unparalleled contribution to the organization of peaceful internationalism
,,,
1912,physics,Nils Gustaf Dalén,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys
,,,
1912,chemistry,Victor Grignard,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry"
,,,
1912,chemistry,Paul Sabatier,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years
,,,
1912,medicine,Alexis Carrel,in recognition of his work on vascular suture and the transplantation of blood vessels and organs
,,,
1912,literature,Gerhart Johann Robert Hauptmann,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art"
,,,
1912,peace,Elihu Root,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries
,,,
1911,physics,Wilhelm Wien,for his discoveries regarding the laws governing the radiation of heat
,,,
1911,chemistry,"Marie Curie, née Sklodowska","in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element"
,,,
1911,medicine,Allvar Gullstrand,for his work on the dioptrics of the eye
,,,
1911,literature,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers’ own feelings and stimulate their imaginations"
,,,
1911,peace,Tobias Michael Carel Asser,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations"
,,,
1911,peace,Alfred Hermann Fried,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations"
,,,
1910,physics,Johannes Diderik van der Waals,for his work on the equation of state for gases and liquids
,,,
1910,chemistry,Otto Wallach,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds
,,,
1910,medicine,Albrecht Kossel,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances"
,,,
1910,literature,Paul Johann Ludwig Heyse,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories"
,,,
1910,peace,"Bureau international permanent de la Paix (Permanent International Peace Bureau)
","for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement"
,,,
1909,physics,Guglielmo Marconi,in recognition of their contributions to the development of wireless telegraphy
,,,
1909,physics,Karl Ferdinand Braun,in recognition of their contributions to the development of wireless telegraphy
,,,
1909,chemistry,Wilhelm Ostwald,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction
,,,
1909,medicine,Emil Theodor Kocher,"for his work on the physiology, pathology and surgery of the thyroid gland"
,,,
1909,literature,Selma Ottilia Lovisa Lagerlöf,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings"
,,,
1909,peace,Auguste Marie François Beernaert,for their prominent position in the international movement for peace and arbitration
,,,
1909,peace,"Paul Henri Benjamin Balluet d’Estournelles de Constant, Baron de Constant de Rebecque",for their prominent position in the international movement for peace and arbitration
,,,
1908,physics,Gabriel Lippmann,for his method of reproducing colours photographically based on the phenomenon of interference
,,,
1908,chemistry,Ernest Rutherford,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"
,,,
1908,medicine,Ilya Ilyich Mechnikov,in recognition of their work on immunity
,,,
1908,medicine,Paul Ehrlich,in recognition of their work on immunity
,,,
1908,literature,Rudolf Christoph Eucken,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"
,,,
1908,peace,Klas Pontus Arnoldson,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors"
,,,
1908,peace,Fredrik Bajer,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors"
,,,
1907,physics,Albert Abraham Michelson,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid
,,,
1907,chemistry,Eduard Buchner,for his biochemical researches and his discovery of cell-free fermentation
,,,
1907,medicine,Charles Louis Alphonse Laveran,in recognition of his work on the role played by protozoa in causing diseases
,,,
1907,literature,Rudyard Kipling,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author"
,,,
1907,peace,Ernesto Teodoro Moneta,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy"
,,,
1907,peace,Louis Renault,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences
,,,
1906,physics,Joseph John Thomson,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases
,,,
1906,chemistry,Henri Moissan,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him"
,,,
1906,medicine,Camillo Golgi,in recognition of their work on the structure of the nervous system
,,,
1906,medicine,Santiago Ramón y Cajal,in recognition of their work on the structure of the nervous system
,,,
1906,literature,Giosuè Carducci,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces"
,,,
1906,peace,Theodore Roosevelt,"for his role in bringing to an end the bloody war recently waged between two of the world’s great powers, Japan and Russia"
,,,
1905,physics,Philipp Eduard Anton von Lenard,for his work on cathode rays
,,,
1905,chemistry,Johann Friedrich Wilhelm Adolf von Baeyer,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"
,,,
1905,medicine,Robert Koch,for his investigations and discoveries in relation to tuberculosis
,,,
1905,literature,Henryk Sienkiewicz,because of his outstanding merits as an epic writer
,,,
1905,peace,Bertha von Suttner,for her audacity to oppose the horrors of war
,,,
1904,physics,Lord Rayleigh (John William Strutt),for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
,,,
1904,chemistry,Sir William Ramsay,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system"
,,,
1904,medicine,Ivan Petrovich Pavlov,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged"
,,,
1904,literature,Frédéric Mistral,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist"
,,,
1904,literature,José Echegaray y Eizaguirre,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama"
,,,
1904,peace,"Institut de droit international (Institute of International Law)
",for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane
,,,
1903,physics,Antoine Henri Becquerel,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity
,,,
1903,physics,Pierre Curie,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
,,,
1903,physics,"Marie Curie, née Sklodowska",in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
,,,
1903,chemistry,Svante August Arrhenius,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation
,,,
1903,medicine,Niels Ryberg Finsen,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science"
,,,
1903,literature,Bjørnstjerne Martinus Bjørnson,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"
,,,
1903,peace,William Randal Cremer,for his longstanding and devoted effort in favour of the ideas of peace and arbitration
,,,
1902,physics,Hendrik Antoon Lorentz,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
,,,
1902,physics,Pieter Zeeman,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
,,,
1902,chemistry,Hermann Emil Fischer,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses
,,,
1902,medicine,Ronald Ross,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"
,,,
1902,literature,Christian Matthias Theodor Mommsen,"the greatest living master of the art of historical writing, with special reference to his monumental work, A history of Rome"
,,,
1902,peace,Élie Ducommun,for his untiring and skilful directorship of the Bern Peace Bureau
,,,
1902,peace,Charles Albert Gobat,for his eminently practical administration of the Inter-Parliamentary Union
,,,
1901,physics,Wilhelm Conrad Röntgen,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him
,,,
1901,chemistry,Jacobus Henricus van ‘t Hoff,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions
,,,
1901,medicine,Emil Adolf von Behring,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"
,,,
1901,literature,Sully Prudhomme,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect"
,,,
1901,peace,Jean Henry Dunant,for his humanitarian efforts to help wounded soldiers and create international understanding
,,,
1901,peace,Frédéric Passy,"for his lifelong work for international peace conferences, diplomacy and arbitration"
